"n_iter","algo","N_FACTOR","p","easy","elapsed_time_secs_mean","elapsed_time_secs_sd","mean_ARI","sd_ARI","mean_FMI","sd_FMI","mean_AMI","sd_AMI"
4,"BRAND","0.1","2","0",5.63817137976488,2.23020354698223,0.863416963537546,0.0256167889651092,0.890603009560645,0.020505529851031,0.839952198647774,0.0269953545297656
4,"BRAND","0.1","3","0",7.1779182334741,3.20769912512324,0.680066103908383,0.243852975954709,0.777634778141984,0.151074462523169,0.711938801631609,0.181486638561332
4,"VARBRAND","0.1","2","0",2.14755415916443,1.3415639388999,0.839379122394325,0.038157886766291,0.871043644422662,0.031019224556091,0.814646580666378,0.039846029343931
4,"VARBRAND","0.1","3","0",1.07903856039047,0.693383004044035,0.818876514009193,0.055354116838856,0.854748629434547,0.0445674683451275,0.80296317084196,0.0522145498056527
